File,Function,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\gui\numericstyleditemdelegate.txx,"NumericStyledItemDelegate<T>::createEditor( QWidget* parent, const QStyleOptionViewItem& option, const QModelIndex& index ) const",8,7,3,1,1,0,0,0,
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\gui\numericstyleditemdelegate.txx,"NumericStyledItemDelegate<Real>::createEditor( QWidget* parent, const QStyleOptionViewItem& option, const QModelIndex& index ) const",7,6,6,1,1,0,0,0,
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\gui\numericstyleditemdelegate.txx,"NumericStyledItemDelegate<Integer>::createEditor( QWidget* parent, const QStyleOptionViewItem& option, const QModelIndex& index ) const",7,6,6,1,1,0,0,0,
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\gui\numericstyleditemdelegate.txx,"NumericStyledItemDelegate<Rational>::createEditor( QWidget* parent, const QStyleOptionViewItem& option, const QModelIndex& index ) const",7,6,6,1,1,0,0,0,
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\gui\numericstyleditemdelegate.txx,"NumericStyledItemDelegate<T>::setEditorData( QWidget* editor, const QModelIndex& index ) const",6,5,5,0,0,0,1,3,
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\gui\numericstyleditemdelegate.txx,"NumericStyledItemDelegate<T>::setModelData( QWidget* editor, QAbstractItemModel* model, const QModelIndex& index ) const",5,5,5,0,0,0,0,0,
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\gui\numericstyleditemdelegate.txx,"NumericStyledItemDelegate<T>::updateEditorGeometry( QWidget* editor, const QStyleOptionViewItem& option, const QModelIndex& index ) const",2,2,2,0,0,0,0,0,
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\gui\tablemodelutils.txx,throw(invalid_argument),21,19,7,3,2,0,0,0,
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\gui\tablemodelutils.txx,throw(invalid_argument),21,19,7,3,2,0,0,0,
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\lp\linearprogrammingutils.cxx,"sortPointsByPolarAngle(list<Matrix<Real, 2, 1>>& points)",27,18,10,2,3,0,6,35,
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\lp\linearprogrammingutils.cxx,"perp(const Matrix<Real, 2, 1>& vec)",8,6,4,1,2,0,0,0,
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\lp\linearprogrammingutils.cxx,"norm(const Matrix<Real, 2, 1>& vec)",2,2,2,1,0,0,0,0,
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\lp\linearprogrammingutils.cxx,"lerp(Real x1, Real y1, Real x2, Real y2, Real x0)",2,2,2,1,0,0,0,0,
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\lp\linearprogrammingutils.cxx,"blerp( Real x1, Real y1, Real z11, Real z12, Real x2, Real y2, Real z22, Real z21, Real x0, Real y0 )",6,5,5,1,1,0,0,0,
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\lp\linearprogrammingutils.hxx,"findIntersection( const Matrix<TCoeff, TDim, TDim>& A, const Matrix<TCoeff, TDim, 1>& b )",2,2,2,1,0,0,0,0,
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\lp\graphicalsolver2d.txx,linearProgramData_(linearProgramData),1,1,1,0,0,0,0,0,
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\lp\graphicalsolver2d.txx,linearProgramData_(std::move(linearProgramData)),1,1,1,0,0,0,0,0,
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\lp\graphicalsolver2d.txx,GraphicalSolver2D<TCoeff>::setLinearProgramData( const LinearProgramData<TCoeff>& linearProgramData ),2,2,2,0,0,0,0,0,
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\lp\graphicalsolver2d.txx,GraphicalSolver2D<TCoeff>::setLinearProgramData( LinearProgramData<TCoeff>&& linearProgramData ),2,2,2,0,0,0,0,0,
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\lp\graphicalsolver2d.txx,GraphicalSolver2D<TCoeff>::solve(),393,259,122,35,74,0,60,422,
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\lp\isolver.txx,ISolver<T>::~ISolver(),1,1,1,0,0,0,0,0,
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\lp\linearprogramdata.txx,constraintsRHS(other.constraintsRHS),1,1,1,0,0,0,0,0,
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\lp\linearprogramdata.txx,constraintsRHS(std::move(other.constraintsRHS)),1,1,1,0,0,0,0,0,
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\lp\linearprogramdata.txx,constraintsRHS(constraintsRHS),11,11,3,1,0,0,0,0,
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\lp\linearprogramdata.txx,constraintsRHS(std::move(constraintsRHS)),11,11,3,1,0,0,0,0,
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\lp\linearprogramdata.txx,LinearProgramData<T>::operator =( const LinearProgramData<T>& other ),9,8,6,2,1,0,0,0,
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\lp\linearprogramdata.txx,LinearProgramData<T>::operator =( LinearProgramData<T>&& other ),9,8,6,2,1,0,0,0,
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\lp\linearprogramdata.txx,LinearProgramData<T>::constraintsCount() const,2,2,2,1,0,0,0,0,
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\lp\linearprogramdata.txx,LinearProgramData<T>::variablesCount() const,2,2,2,1,0,0,0,0,
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\lp\linearprogrammingutils.txx,"isSolutionFeasible( const Matrix<T, Dynamic, 1>& x, const Matrix<T, Dynamic, Dynamic>& A, const Matrix<T, Dynamic, 1>& b )",5,5,2,1,0,0,0,0,
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\lp\linearprogrammingutils.txx,"reducedRowEchelonForm(const Matrix<T, Dynamic, Dynamic>& A)",112,85,53,15,14,1,13,122,
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\lp\linearprogrammingutils.txx,"computeBoundingBox(const list<Matrix<T, 2, 1>>& points)",37,30,15,6,7,0,0,0,
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\lp\linearprogramsolution.txx,extremeValue(other.extremeValue),1,1,1,0,0,0,0,0,
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\lp\linearprogramsolution.txx,extremeValue(other.extremeValue),1,1,1,0,0,0,0,0,
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\lp\linearprogramsolution.txx,extremeValue(extremeValue),1,1,1,0,0,0,0,0,
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\lp\linearprogramsolution.txx,extremeValue(extremeValue),1,1,1,0,0,0,0,0,
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\lp\linearprogramsolution.txx,LinearProgramSolution<T>::operator =(const LinearProgramSolution<T>& other),8,7,5,2,1,0,0,0,
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\lp\linearprogramsolution.txx,LinearProgramSolution<T>::operator =(LinearProgramSolution<T>&& other),8,7,5,2,1,0,0,0,
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\lp\plotdata2d.txx,decisionVariables(decisionVariables),1,1,1,0,0,0,0,0,
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\lp\plotdata2d.txx,decisionVariables(std::move(decisionVariables)),1,1,1,0,0,0,0,0,
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\lp\simplexsolver.txx,linearProgramData_(linearProgramData),1,1,1,0,0,0,0,0,
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\lp\simplexsolver.txx,linearProgramData_(std::move(linearProgramData)),1,1,1,0,0,0,0,0,
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\lp\simplexsolver.txx,SimplexSolver<T>::linearProgramData() const,2,2,2,1,0,0,0,0,
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\lp\simplexsolver.txx,SimplexSolver<T>::setLinearProgramData( const LinearProgramData<T>& linearProgramData ),2,2,2,0,0,0,0,0,
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\lp\simplexsolver.txx,SimplexSolver<T>::setLinearProgramData( LinearProgramData<T>&& linearProgramData ),2,2,2,0,0,0,0,0,
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\lp\simplexsolver.txx,SimplexSolver<T>::solve(),121,95,33,11,18,0,8,50,
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\lp\simplexsolver.txx,SimplexSolver<T>::reset(),2,2,2,0,0,0,0,0,
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\lp\simplexsolver.txx,SimplexSolver<T>::optimize(SimplexTableau<T>& tableau),28,20,10,8,6,0,2,18,
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\lp\simplexsolver.txx,SimplexSolver<T>::iterate(SimplexTableau<T>& tableau),22,19,11,5,3,3,0,14,
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\lp\simplexsolver.txx,"SimplexSolver<T>::iterate( SimplexTableau<T>& tableau, pair<DenseIndex, DenseIndex> pivotIdx )",13,11,7,3,2,1,0,3,
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\lp\simplexsolver.txx,SimplexSolver<T>::computePivotIdx( const SimplexTableau<T>& tableau ) const,34,22,12,5,5,0,7,70,
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\lp\simplexsolver.txx,SimplexSolver<T>::computePivotColIdx( const SimplexTableau<T>& tableau ) const,60,43,24,8,10,1,7,49,
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\lp\simplexsolver.txx,"SimplexSolver<T>::computePivotRowIdx( const SimplexTableau<T>& tableau, DenseIndex pivotColIdx ) const",96,74,36,12,17,4,5,39,
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\lp\simplexsolver.txx,"SimplexSolver<T>::transformTableau( SimplexTableau<T>& tableau, DenseIndex rowIdx, DenseIndex colIdx )",60,43,18,8,7,7,10,103,
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\lp\simplexsolver.txx,SimplexSolver<T>::checkPhase1Solution( const SimplexTableau<T>& tableau ) const,23,20,10,6,0,0,3,27,
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\lp\simplexsolver.txx,SimplexSolver<T>::checkPhase2Solution( const SimplexTableau<T>& tableau ) const,14,14,5,3,0,0,0,0,
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\lp\simplextableau.txx,SimplexTableau<T>::SimplexTableau(),1,1,1,0,0,0,0,0,
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\lp\simplextableau.txx,entries_(simplexTableau.entries_),1,1,1,0,0,0,0,0,
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\lp\simplextableau.txx,entries_(std::move(simplexTableau.entries_)),1,1,1,0,0,0,0,0,
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\lp\simplextableau.txx,"SimplexTableau<T>::operator ()(DenseIndex rowIdx, DenseIndex colIdx)",2,2,2,1,0,0,0,0,
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\lp\simplextableau.txx,"SimplexTableau<T>::operator ()(DenseIndex rowIdx, DenseIndex colIdx) const",2,2,2,1,0,0,0,0,
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\lp\simplextableau.txx,SimplexTableau<T>::entries(),2,2,2,1,0,0,0,0,
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\lp\simplextableau.txx,SimplexTableau<T>::entries() const,2,2,2,1,0,0,0,0,
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\lp\simplextableau.txx,SimplexTableau<T>::row(DenseIndex rowIdx),2,2,2,1,0,0,0,0,
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\lp\simplextableau.txx,SimplexTableau<T>::row(DenseIndex rowIdx) const,2,2,2,1,0,0,0,0,
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\lp\simplextableau.txx,SimplexTableau<T>::col(DenseIndex colIdx),2,2,2,1,0,0,0,0,
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\lp\simplextableau.txx,SimplexTableau<T>::col(DenseIndex colIdx) const,2,2,2,1,0,0,0,0,
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\lp\simplextableau.txx,SimplexTableau<T>::rows() const,2,2,2,1,0,0,0,0,
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\lp\simplextableau.txx,SimplexTableau<T>::cols() const,2,2,2,1,0,0,0,0,
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\lp\simplextableau.txx,SimplexTableau<T>::phase() const,2,2,2,1,0,0,0,0,
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\lp\simplextableau.txx,SimplexTableau<T>::basicVars(),2,2,2,1,0,0,0,0,
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\lp\simplextableau.txx,SimplexTableau<T>::basicVars() const,2,2,2,1,0,0,0,0,
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\lp\simplextableau.txx,SimplexTableau<T>::freeVars(),2,2,2,1,0,0,0,0,
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\lp\simplextableau.txx,SimplexTableau<T>::freeVars() const,2,2,2,1,0,0,0,0,
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\lp\simplextableau.txx,SimplexTableau<T>::basicVarsCount() const,2,2,2,1,0,0,0,0,
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\lp\simplextableau.txx,SimplexTableau<T>::freeVarsCount() const,2,2,2,1,0,0,0,0,
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\lp\simplextableau.txx,SimplexTableau<T>::extremePoint() const,16,13,9,3,3,0,0,0,
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\lp\simplextableau.txx,SimplexTableau<T>::extremeValue(OptimizationGoalType goalType) const,11,9,5,4,2,0,0,0,
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\lp\simplextableau.txx,SimplexTableau<T>::makePhaseOne(const LinearProgramData<T> &linearProgramData),62,39,20,6,8,0,15,134,
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\lp\simplextableau.txx,throw(invalid_argument),125,88,41,12,14,2,23,212,
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\math\mathutils.hxx,absoluteValue(T x),8,7,3,1,1,0,0,0,
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\math\mathutils.hxx,"isEqual(T x, T y)",8,7,3,1,1,0,0,0,
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\math\mathutils.hxx,"isLessThan(T x, T y)",8,7,3,1,1,0,0,0,
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\math\mathutils.hxx,"isGreaterThan(T x, T y)",8,7,3,1,1,0,0,0,
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\math\mathutils.hxx,isEqualToZero(T x),8,7,3,1,1,0,0,0,
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\math\mathutils.hxx,isGreaterThanZero(T x),8,7,3,1,1,0,0,0,
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\math\mathutils.hxx,isLessThanZero(T x),8,7,3,1,1,0,0,0,
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\math\mathutils.hxx,isGreaterThanOrEqualToZero(T x),8,7,3,1,1,0,0,0,
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\math\numericlimits.hxx,max(),8,7,3,1,1,0,0,0,
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\math\numericlimits.hxx,min(),8,7,3,1,1,0,0,0,
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\math\mathutils.txx,"rationalize(T x, T tolerance, uint16_t maxIterations, R maxDenominator)",90,71,38,13,9,8,10,120,
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\math\mathutils.txx,absoluteValue(Real x),2,2,2,1,0,0,0,0,
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\math\mathutils.txx,absoluteValue(Rational x),2,2,2,1,0,0,0,0,
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\math\mathutils.txx,"isEqual(Real x, Real y)",7,7,3,1,0,0,0,0,
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\math\mathutils.txx,"isEqual(Rational x, Rational y)",2,2,2,1,0,0,0,0,
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\math\mathutils.txx,"isLessThan(Real x, Real y)",7,7,3,1,0,0,0,0,
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\math\mathutils.txx,"isLessThan(Rational x, Rational y)",2,2,2,1,0,0,0,0,
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\math\mathutils.txx,"isGreaterThan(Real x, Real y)",7,7,3,1,0,0,0,0,
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\math\mathutils.txx,"isGreaterThan(Rational x, Rational y)",2,2,2,1,0,0,0,0,
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\math\mathutils.txx,isEqualToZero(Real x),5,5,2,1,0,0,0,0,
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\math\mathutils.txx,isEqualToZero(Rational x),2,2,2,1,0,0,0,0,
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\math\mathutils.txx,isGreaterThanZero(Real x),4,4,2,1,0,0,0,0,
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\math\mathutils.txx,isGreaterThanZero(Rational x),2,2,2,1,0,0,0,0,
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\math\mathutils.txx,isLessThanZero(Real x),4,4,2,1,0,0,0,0,
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\math\mathutils.txx,isLessThanZero(Rational x),2,2,2,1,0,0,0,0,
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\math\mathutils.txx,isGreaterThanOrEqualToZero(Real x),2,2,2,1,0,0,0,0,
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\math\mathutils.txx,isGreaterThanOrEqualToZero(Rational x),2,2,2,1,0,0,0,0,
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\math\numericlimits.txx,max(),2,2,2,1,0,0,0,0,
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\math\numericlimits.txx,min(),2,2,2,1,0,0,0,0,
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\math\numericlimits.txx,max(),2,2,2,1,0,0,0,0,
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\math\numericlimits.txx,min(),2,2,2,1,0,0,0,0,
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\math\numericlimits.txx,max(),2,2,2,1,0,0,0,0,
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\math\numericlimits.txx,min(),2,2,2,1,0,0,0,0,
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\misc\boostqtinterop.cxx,"operator <<(QDebug debug, const NumericTypes::BoostRational& x)",6,4,4,1,2,0,0,0,
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\misc\boostqtinterop.cxx,"operator <<(QDebug debug, const NumericTypes::BoostReal& x)",6,4,4,1,2,0,0,0,
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\misc\ijsonserializable.cxx,IJsonSerializable::~IJsonSerializable(),1,1,1,0,0,0,0,0,
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\misc\utils.cxx,"Utils::makeApplication(int& argc, char** argv)",94,84,37,4,10,0,0,0,
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\misc\dataconvertors.hxx,numericCast(const QString& from),8,7,3,1,1,0,0,0,
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\misc\dataconvertors.hxx,numericCast(const T& from),8,7,3,1,1,0,0,0,
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\misc\utils.hxx,makeString(const list<T>& from),14,10,6,1,4,0,0,0,
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\misc\utils.hxx,makeString(const vector<T>& from),14,10,6,1,4,0,0,0,
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\misc\utils.hxx,"printDebugLog( const char* const func, const char* const file, int line, const char* const format, const Args&... args )",4,4,4,0,0,0,0,0,
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\misc\dataconvertors.txx,"numericCast<Real, Real>(const Real& from)",2,2,2,1,0,0,0,0,
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\misc\dataconvertors.txx,"numericCast<Rational, Rational>(const Rational& from)",2,2,2,1,0,0,0,0,
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\misc\dataconvertors.txx,"numericCast<BoostReal, BoostRational>(const BoostRational& from)",6,5,3,1,1,0,0,0,
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\misc\dataconvertors.txx,"numericCast<BoostRational, BoostReal>(const BoostReal& from)",9,8,3,1,1,0,0,0,
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\misc\dataconvertors.txx,"numericCast<QString, BoostReal>(const BoostReal& from)",4,3,3,1,1,0,0,0,
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\misc\dataconvertors.txx,"numericCast<QString, BoostRational>(const BoostRational& from)",23,21,10,3,2,1,0,6,
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\misc\dataconvertors.txx,numericCast<BoostReal>(const QString& from),11,10,6,2,1,0,0,0,
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\misc\dataconvertors.txx,numericCast<BoostInteger>(const QString& from),11,10,6,2,1,0,0,0,
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\misc\dataconvertors.txx,numericCast<BoostRational>(const QString& from),11,10,6,2,1,0,0,0,
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\misc\dataconvertors.txx,"numericCast<BuiltinReal, BoostRational>(const BoostRational& from)",6,5,3,1,1,0,0,0,
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\misc\dataconvertors.txx,"numericCast<BoostRational, BuiltinReal>(const BuiltinReal& from)",8,7,3,1,1,0,0,0,
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\misc\dataconvertors.txx,"numericCast<QString, BuiltinReal>(const BuiltinReal& from)",4,3,3,1,1,0,0,0,
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\misc\dataconvertors.txx,"numericCast<QString, BoostRational>(const BoostRational& from)",23,21,10,3,2,1,0,6,
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\misc\dataconvertors.txx,numericCast<BuiltinReal>(const QString& from),15,13,9,3,2,0,0,0,
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\misc\dataconvertors.txx,numericCast<BuiltinInteger>(const QString& from),15,13,9,3,2,0,0,0,
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\misc\dataconvertors.txx,numericCast<BoostRational>(const QString& from),28,20,14,4,4,0,4,34,
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\test\test.cxx,throw(logic_error),32,24,14,5,4,0,4,9,
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\test\test.cxx,throw(logic_error),32,24,14,5,4,0,4,9,
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\test\test.cxx,run(),158,112,58,0,31,0,15,61,
